trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2229,False,"{'e': 0.011608705362980011, 'a': 0.002}",20,10,19.243998229455137,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2230,False,"{'e': 0.011585511154194242, 'a': 0.002}",20,16,7.935083866963252,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2231,False,"{'e': 0.011562363287468536, 'a': 0.002}",20,11,12.949028332251087,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2232,False,"{'e': 0.011539261670211397, 'a': 0.002}",20,5,18.70971699442086,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
2233,False,"{'e': 0.011516206210016314, 'a': 0.002}",20,3,33.608397741399855,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2234,False,"{'e': 0.011493196814661438, 'a': 0.002}",25,20,10.033493798449998,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2235,False,"{'e': 0.011470233392109144, 'a': 0.002}",20,5,27.022103666473367,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2236,False,"{'e': 0.01144731585050571, 'a': 0.002}",20,10,18.487859449246564,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2237,False,"{'e': 0.011424444098180933, 'a': 0.002}",25,10,27.470806419326298,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2238,False,"{'e': 0.011401618043647792, 'a': 0.002}",30,20,20.660897053837136,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2239,False,"{'e': 0.011378837595602027, 'a': 0.002}",20,14,9.372009757181534,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2240,False,"{'e': 0.011356102662921816, 'a': 0.002}",30,14,20.075472722245273,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
2241,False,"{'e': 0.011333413154667387, 'a': 0.002}",20,13,12.628025822024926,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2242,False,"{'e': 0.0113107689800807, 'a': 0.002}",25,17,14.767303451057423,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2243,False,"{'e': 0.011288170048585013, 'a': 0.002}",25,14,22.172457634660724,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2244,False,"{'e': 0.011265616269784572, 'a': 0.002}",25,16,10.934676927106828,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
2245,False,"{'e': 0.011243107553464221, 'a': 0.002}",25,14,20.222433589640566,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2246,False,"{'e': 0.011220643809589084, 'a': 0.002}",30,16,27.193954649927125,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2247,False,"{'e': 0.011198224948304147, 'a': 0.002}",20,0,31.141694368281023,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2248,False,"{'e': 0.011175850879933932, 'a': 0.002}",30,18,23.582016244299528,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2249,False,"{'e': 0.011153521514982131, 'a': 0.002}",30,16,24.39988489389109,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2250,False,"{'e': 0.01113123676413127, 'a': 0.002}",30,24,10.158324781500117,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2251,False,"{'e': 0.011108996538242306, 'a': 0.002}",20,0,32.37100450156227,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2252,False,"{'e': 0.011086800748354308, 'a': 0.002}",20,11,15.259080812478633,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2253,False,"{'e': 0.011064649305684076, 'a': 0.002}",35,23,20.169668825866953,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2254,False,"{'e': 0.01104254212162583, 'a': 0.002}",20,11,17.902731376192406,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2255,False,"{'e': 0.011020479107750792, 'a': 0.002}",20,16,9.247804515316679,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2256,False,"{'e': 0.010998460175806881, 'a': 0.002}",25,0,34.46368905196669,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2257,False,"{'e': 0.010976485237718327, 'a': 0.002}",20,9,10.217326894415908,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
2258,False,"{'e': 0.01095455420558537, 'a': 0.002}",25,11,26.429972686744968,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2259,False,"{'e': 0.01093266699168384, 'a': 0.002}",25,10,25.010097054393682,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2260,False,"{'e': 0.010910823508464855, 'a': 0.002}",25,9,29.91412098654157,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2261,False,"{'e': 0.01088902366855444, 'a': 0.002}",25,11,25.56913046604955,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2262,False,"{'e': 0.01086726738475323, 'a': 0.002}",30,23,10.769669683385219,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
