trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 1.0, 'a': 0.002}",25,0,-75.10210853312987,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
2,False,"{'e': 0.9980019986673331, 'a': 0.002}",20,0,-120.80563866537828,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'e': 0.9960079893439915, 'a': 0.002}",20,0,-32.35050933647462,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
4,False,"{'e': 0.9940179640539353, 'a': 0.002}",20,0,-152.67322134489095,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
5,False,"{'e': 0.9920319148370607, 'a': 0.002}",20,0,-70.96143228379259,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
6,False,"{'e': 0.9900498337491681, 'a': 0.002}",25,0,-147.4440486246238,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
7,False,"{'e': 0.9880717128619305, 'a': 0.002}",20,9,-108.58092640572919,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 2}",1
8,False,"{'e': 0.9860975442628619, 'a': 0.002}",20,0,-43.622556321212706,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'e': 0.9841273200552851, 'a': 0.002}",20,0,-56.72846028948092,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'e': 0.9821610323583008, 'a': 0.002}",20,0,-33.3762674488755,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
11,False,"{'e': 0.9801986733067553, 'a': 0.002}",20,0,-198.91324194364364,"{0: 8, 1: 5, 2: 2, 3: 2, 4: 3}",0
12,False,"{'e': 0.97824023505121, 'a': 0.002}",25,0,-163.33646338390076,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
13,False,"{'e': 0.9762857097579093, 'a': 0.002}",20,7,-5.426416099852231,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
14,False,"{'e': 0.9743350896087494, 'a': 0.002}",30,0,-146.72859518463298,"{0: 15, 1: 8, 2: 5, 3: 0, 4: 2}",0
15,False,"{'e': 0.9723883668012469, 'a': 0.002}",25,0,-81.4591634799106,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
16,False,"{'e': 0.9704455335485082, 'a': 0.002}",25,0,-148.71772945524083,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
17,False,"{'e': 0.9685065820791976, 'a': 0.002}",25,0,-174.5702969461355,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
18,False,"{'e': 0.9665715046375066, 'a': 0.002}",30,9,-35.13298906369892,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 1}",1
19,False,"{'e': 0.9646402934831231, 'a': 0.002}",20,0,-143.92413625713553,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
20,False,"{'e': 0.9627129408911995, 'a': 0.002}",20,0,-48.34085251044669,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
21,False,"{'e': 0.9607894391523232, 'a': 0.002}",25,0,-98.20379718410068,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
22,False,"{'e': 0.9588697805724845, 'a': 0.002}",20,0,-93.50337727249905,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
23,False,"{'e': 0.9569539574730467, 'a': 0.002}",20,0,-93.53360455875259,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
24,False,"{'e': 0.9550419621907147, 'a': 0.002}",20,0,-108.42681246613961,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
25,False,"{'e': 0.9531337870775047, 'a': 0.002}",20,0,-238.7865182015995,"{0: 10, 1: 2, 2: 0, 3: 4, 4: 4}",0
26,False,"{'e': 0.951229424500714, 'a': 0.002}",25,2,-59.61692774112343,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 1}",1
27,False,"{'e': 0.9493288668428895, 'a': 0.002}",20,0,-55.42529869772383,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
28,False,"{'e': 0.9474321065017983, 'a': 0.002}",30,8,-115.08251094989646,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 2}",1
29,False,"{'e': 0.9455391358903963, 'a': 0.002}",20,1,-50.502719346702754,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
30,False,"{'e': 0.9436499474367985, 'a': 0.002}",20,0,-176.44138343731728,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
31,False,"{'e': 0.9417645335842487, 'a': 0.002}",30,0,-109.5500555823549,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
32,False,"{'e': 0.9398828867910889, 'a': 0.002}",25,0,-38.55020971012084,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
33,False,"{'e': 0.9380049995307295, 'a': 0.002}",25,14,-103.97768146171651,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 3}",1
34,False,"{'e': 0.9361308642916188, 'a': 0.002}",25,12,-108.7738182590252,"{0: 6, 1: 1, 2: 3, 3: 2, 4: 1}",1
35,False,"{'e': 0.9342604735772135, 'a': 0.002}",20,0,-32.60833761227051,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
36,False,"{'e': 0.9323938199059483, 'a': 0.002}",20,0,-101.95262094046325,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
37,False,"{'e': 0.9305308958112057, 'a': 0.002}",25,0,-36.298511098325825,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
38,False,"{'e': 0.9286716938412872, 'a': 0.002}",20,0,-36.05788379057421,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
39,False,"{'e': 0.9268162065593822, 'a': 0.002}",25,0,-83.27316718974241,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
40,False,"{'e': 0.9249644265435393, 'a': 0.002}",20,2,-155.6272489866366,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 3}",1
41,False,"{'e': 0.9231163463866358, 'a': 0.002}",30,0,-127.3511890425184,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
42,False,"{'e': 0.9212719586963487, 'a': 0.002}",25,0,-128.92391988932596,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
43,False,"{'e': 0.9194312560951247, 'a': 0.002}",25,14,-32.96982020562598,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 0}",1
44,False,"{'e': 0.9175942312201509, 'a': 0.002}",20,2,-43.45494688073632,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
45,False,"{'e': 0.9157608767233256, 'a': 0.002}",20,0,-9.665681362817582,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
46,False,"{'e': 0.9139311852712282, 'a': 0.002}",25,0,-155.96175977207938,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
47,False,"{'e': 0.9121051495450904, 'a': 0.002}",25,0,-199.93005187285567,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
48,False,"{'e': 0.910282762240767, 'a': 0.002}",20,0,-79.47935589357388,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
49,False,"{'e': 0.9084640160687062, 'a': 0.002}",35,0,-289.42679818295966,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 6}",0
50,False,"{'e': 0.9066489037539209, 'a': 0.002}",25,0,-132.41515169704186,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
51,False,"{'e': 0.9048374180359595, 'a': 0.002}",20,0,-74.15019334048706,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
52,False,"{'e': 0.9030295516688768, 'a': 0.002}",25,11,-22.35309179408634,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
53,False,"{'e': 0.9012252974212047, 'a': 0.002}",20,0,-42.342563813261236,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
54,False,"{'e': 0.899424648075924, 'a': 0.002}",25,0,-166.35033353567684,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
55,False,"{'e': 0.8976275964304349, 'a': 0.002}",20,0,-92.25795853515044,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
56,False,"{'e': 0.8958341352965282, 'a': 0.002}",20,0,-55.99489789110231,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
57,False,"{'e': 0.8940442575003572, 'a': 0.002}",20,0,-145.79607553134005,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
58,False,"{'e': 0.8922579558824083, 'a': 0.002}",30,12,-8.176347973697585,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 0}",1
59,False,"{'e': 0.8904752232974726, 'a': 0.002}",30,0,-44.960800079926486,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
60,False,"{'e': 0.8886960526146174, 'a': 0.002}",20,0,-70.1189257399149,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
61,False,"{'e': 0.8869204367171575, 'a': 0.002}",20,0,-41.91533877886496,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
62,False,"{'e': 0.8851483685026271, 'a': 0.002}",20,0,-94.91802822321034,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
63,False,"{'e': 0.8833798408827509, 'a': 0.002}",20,0,-54.58946917320407,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
64,False,"{'e': 0.8816148467834161, 'a': 0.002}",30,0,-245.05273314297813,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 5}",0
65,False,"{'e': 0.8798533791446438, 'a': 0.002}",30,0,-163.401874977883,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
66,False,"{'e': 0.8780954309205613, 'a': 0.002}",20,0,-13.040754324103737,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
67,False,"{'e': 0.8763409950793732, 'a': 0.002}",25,0,-109.77975905806998,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
68,False,"{'e': 0.874590064603334, 'a': 0.002}",25,0,-174.96905694252516,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
69,False,"{'e': 0.8728426324887193, 'a': 0.002}",20,0,-86.75456340393328,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
70,False,"{'e': 0.8710986917457983, 'a': 0.002}",25,0,-89.14673417112215,"{0: 20, 1: 0, 2: 1, 3: 3, 4: 1}",0
71,False,"{'e': 0.8693582353988059, 'a': 0.002}",20,0,-170.60266432039202,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
72,False,"{'e': 0.867621256485914, 'a': 0.002}",20,0,-43.037313779210685,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
73,False,"{'e': 0.865887748059205, 'a': 0.002}",25,0,-33.440073840900325,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
74,False,"{'e': 0.8641577031846428, 'a': 0.002}",20,0,-15.570998948352171,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
75,False,"{'e': 0.8624311149420455, 'a': 0.002}",20,0,-18.291043070247405,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
76,False,"{'e': 0.8607079764250578, 'a': 0.002}",25,11,-25.129388650935294,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
77,False,"{'e': 0.8589882807411234, 'a': 0.002}",30,0,-269.51420488724136,"{0: 15, 1: 3, 2: 5, 3: 3, 4: 4}",0
78,False,"{'e': 0.8572720210114575, 'a': 0.002}",25,0,-86.62648485469276,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
79,False,"{'e': 0.8555591903710185, 'a': 0.002}",20,0,-68.67277964070506,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
80,False,"{'e': 0.8538497819684817, 'a': 0.002}",25,11,-81.45237617080589,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
81,False,"{'e': 0.8521437889662113, 'a': 0.002}",20,0,-108.2493941384837,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
82,False,"{'e': 0.850441204540233, 'a': 0.002}",20,0,-79.67494171475627,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
83,False,"{'e': 0.8487420218802068, 'a': 0.002}",30,0,-123.25544676158557,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
84,False,"{'e': 0.8470462341893996, 'a': 0.002}",25,0,-99.86472456960269,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
85,False,"{'e': 0.8453538346846587, 'a': 0.002}",20,0,-50.09519740236528,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
86,False,"{'e': 0.8436648165963837, 'a': 0.002}",20,6,-4.430914206199365,"{0: 10, 1: 4, 2: 0, 3: 0, 4: 0}",1
87,False,"{'e': 0.8419791731684999, 'a': 0.002}",25,2,-22.320050818806266,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 0}",1
88,False,"{'e': 0.8402968976584314, 'a': 0.002}",25,4,-76.30471301965719,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 1}",1
89,False,"{'e': 0.838617983337074, 'a': 0.002}",20,0,-41.03602743123096,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
90,False,"{'e': 0.8369424234887681, 'a': 0.002}",20,9,-79.14225862410636,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
91,False,"{'e': 0.835270211411272, 'a': 0.002}",30,3,-92.0397795960019,"{0: 19, 1: 2, 2: 3, 3: 2, 4: 1}",1
92,False,"{'e': 0.8336013404157353, 'a': 0.002}",25,5,-125.93849796868345,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",1
93,False,"{'e': 0.8319358038266718, 'a': 0.002}",20,0,-64.58845281675596,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
94,False,"{'e': 0.8302735949819326, 'a': 0.002}",30,16,6.513969835500532,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
95,False,"{'e': 0.8286147072326806, 'a': 0.002}",25,7,-48.57431531287807,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 0}",1
96,False,"{'e': 0.8269591339433623, 'a': 0.002}",30,14,-17.954030428280287,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
97,False,"{'e': 0.8253068684916823, 'a': 0.002}",25,0,-149.22699131195367,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
98,False,"{'e': 0.8236579042685769, 'a': 0.002}",20,0,-127.89139663099078,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
99,False,"{'e': 0.8220122346781865, 'a': 0.002}",20,0,-30.277785984459,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
100,False,"{'e': 0.8203698531378311, 'a': 0.002}",25,0,-61.918080221023246,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
101,False,"{'e': 0.8187307530779818, 'a': 0.002}",20,0,-111.41224065094093,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
102,False,"{'e': 0.8170949279422366, 'a': 0.002}",20,0,-41.60014028647928,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
103,False,"{'e': 0.8154623711872927, 'a': 0.002}",30,8,-74.7324771121254,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 1}",1
104,False,"{'e': 0.8138330762829207, 'a': 0.002}",25,17,-4.693910320036581,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'e': 0.812207036711939, 'a': 0.002}",25,0,-97.85574123543772,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
106,False,"{'e': 0.8105842459701871, 'a': 0.002}",25,6,-32.26751628950372,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 1}",1
107,False,"{'e': 0.8089646975664998, 'a': 0.002}",30,0,-125.69489955452885,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
108,False,"{'e': 0.8073483850226815, 'a': 0.002}",20,0,-67.48143387896538,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
109,False,"{'e': 0.8057353018734796, 'a': 0.002}",20,13,-16.663547084743357,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
110,False,"{'e': 0.8041254416665596, 'a': 0.002}",35,18,-115.18266239892354,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 2}",1
111,False,"{'e': 0.8025187979624785, 'a': 0.002}",25,0,-68.61597192177601,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
112,False,"{'e': 0.8009153643346592, 'a': 0.002}",30,0,-137.2911295946982,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 3}",0
113,False,"{'e': 0.7993151343693651, 'a': 0.002}",25,0,-23.867108798769145,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
114,False,"{'e': 0.7977181016656743, 'a': 0.002}",20,0,-22.098918823427784,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
115,False,"{'e': 0.7961242598354538, 'a': 0.002}",20,0,-48.839127808741374,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
116,False,"{'e': 0.794533602503334, 'a': 0.002}",20,0,-72.72828644746477,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
117,False,"{'e': 0.7929461233066837, 'a': 0.002}",20,0,-59.07259274323471,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
118,False,"{'e': 0.7913618158955839, 'a': 0.002}",20,0,-63.404576474356,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
119,False,"{'e': 0.7897806739328027, 'a': 0.002}",30,18,-2.145109799890739,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'e': 0.7882026910937704, 'a': 0.002}",35,15,-100.310574392519,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",1
121,False,"{'e': 0.7866278610665535, 'a': 0.002}",20,0,-83.37078025865574,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
122,False,"{'e': 0.7850561775518295, 'a': 0.002}",20,0,-113.70975705010483,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
123,False,"{'e': 0.7834876342628625, 'a': 0.002}",25,3,-31.912677457969398,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
124,False,"{'e': 0.7819222249254772, 'a': 0.002}",20,0,-99.68144435402654,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
125,False,"{'e': 0.7803599432780343, 'a': 0.002}",25,10,-26.328771128659923,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
126,False,"{'e': 0.7788007830714049, 'a': 0.002}",20,0,-6.594961111415762,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
127,False,"{'e': 0.7772447380689461, 'a': 0.002}",20,5,-63.51104830822367,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
128,False,"{'e': 0.775691802046476, 'a': 0.002}",30,0,-182.8890860467215,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
129,False,"{'e': 0.7741419687922484, 'a': 0.002}",30,0,-36.730887041661575,"{0: 23, 1: 3, 2: 3, 3: 1, 4: 0}",1
130,False,"{'e': 0.772595232106928, 'a': 0.002}",20,0,-84.70512753641135,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
131,False,"{'e': 0.7710515858035663, 'a': 0.002}",25,10,-54.3304763988575,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
132,False,"{'e': 0.7695110237075758, 'a': 0.002}",25,0,-45.96841184635903,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
133,False,"{'e': 0.7679735396567061, 'a': 0.002}",25,16,-59.35462251842153,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 1}",1
134,False,"{'e': 0.7664391275010192, 'a': 0.002}",25,0,-63.351033524938316,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
135,False,"{'e': 0.764907781102864, 'a': 0.002}",25,2,-52.20621824597426,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 0}",1
136,False,"{'e': 0.7633794943368531, 'a': 0.002}",25,0,-98.50436334216118,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
137,False,"{'e': 0.7618542610898376, 'a': 0.002}",20,6,-13.261167857703327,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
138,False,"{'e': 0.7603320752608821, 'a': 0.002}",20,11,12.215293467592664,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'e': 0.7588129307612413, 'a': 0.002}",30,0,-169.1749702484463,"{0: 15, 1: 4, 2: 7, 3: 3, 4: 1}",0
140,False,"{'e': 0.7572968215143355, 'a': 0.002}",20,0,-45.64805862124106,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
141,False,"{'e': 0.7557837414557255, 'a': 0.002}",20,0,-85.26277540720595,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
142,False,"{'e': 0.754273684533089, 'a': 0.002}",20,0,-91.98109975088548,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
143,False,"{'e': 0.7527666447061963, 'a': 0.002}",30,0,-172.6544423520716,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
144,False,"{'e': 0.751262615946886, 'a': 0.002}",25,0,-34.05690915202912,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
145,False,"{'e': 0.7497615922390413, 'a': 0.002}",20,0,-20.117019648373052,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
146,False,"{'e': 0.7482635675785653, 'a': 0.002}",30,16,-7.143516253208194,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
147,False,"{'e': 0.7467685359733571, 'a': 0.002}",30,17,-7.123081851918282,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
148,False,"{'e': 0.7452764914432887, 'a': 0.002}",30,0,-79.86571759011078,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
149,False,"{'e': 0.7437874280201796, 'a': 0.002}",25,1,-53.54827447116929,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
150,False,"{'e': 0.7423013397477743, 'a': 0.002}",20,4,-25.211806136011816,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
151,False,"{'e': 0.7408182206817179, 'a': 0.002}",30,0,-298.96587400017336,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 6}",0
152,False,"{'e': 0.7393380648895319, 'a': 0.002}",20,0,-113.10163975718982,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
153,False,"{'e': 0.7378608664505911, 'a': 0.002}",25,15,-39.200303160801894,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
154,False,"{'e': 0.7363866194561001, 'a': 0.002}",25,2,-58.67665059681533,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 0}",1
155,False,"{'e': 0.7349153180090687, 'a': 0.002}",25,14,-71.01644058385011,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
156,False,"{'e': 0.7334469562242892, 'a': 0.002}",35,10,-62.66672309378072,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",1
157,False,"{'e': 0.7319815282283126, 'a': 0.002}",20,0,-43.940653274391,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
158,False,"{'e': 0.7305190281594249, 'a': 0.002}",25,7,-51.18877706871383,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
159,False,"{'e': 0.7290594501676237, 'a': 0.002}",20,0,-29.485187361574457,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
160,False,"{'e': 0.7276027884145955, 'a': 0.002}",25,0,-26.78555734625641,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
161,False,"{'e': 0.7261490370736909, 'a': 0.002}",20,10,-16.717498645903973,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
162,False,"{'e': 0.7246981903299029, 'a': 0.002}",20,0,-30.66117827781117,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
163,False,"{'e': 0.7232502423798424, 'a': 0.002}",30,11,-53.77598532941788,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 0}",1
164,False,"{'e': 0.7218051874317158, 'a': 0.002}",25,0,-192.22261982338193,"{0: 14, 1: 4, 2: 3, 3: 0, 4: 4}",0
165,False,"{'e': 0.7203630197053014, 'a': 0.002}",20,7,11.416159941710882,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'e': 0.7189237334319262, 'a': 0.002}",20,13,-16.181610810242837,"{0: 5, 1: 1, 2: 0, 3: 1, 4: 0}",1
167,False,"{'e': 0.7174873228544433, 'a': 0.002}",25,0,-145.55508961053505,"{0: 18, 1: 2, 2: 0, 3: 2, 4: 3}",0
168,False,"{'e': 0.7160537822272085, 'a': 0.002}",20,0,-76.99578313908941,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
169,False,"{'e': 0.7146231058160573, 'a': 0.002}",20,0,-79.25053035195474,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
170,False,"{'e': 0.7131952878982822, 'a': 0.002}",20,0,-112.16267028174215,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
171,False,"{'e': 0.7117703227626097, 'a': 0.002}",30,1,-91.09046389809457,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 1}",1
172,False,"{'e': 0.7103482047091773, 'a': 0.002}",20,11,16.776312187822793,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'e': 0.7089289280495107, 'a': 0.002}",25,8,-54.43744963149148,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
174,False,"{'e': 0.7075124871065017, 'a': 0.002}",25,0,-100.6358132082587,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
175,False,"{'e': 0.7060988762143844, 'a': 0.002}",25,18,-0.09180344645440819,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
176,False,"{'e': 0.7046880897187134, 'a': 0.002}",30,0,-44.32945188056928,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
177,False,"{'e': 0.7032801219763409, 'a': 0.002}",30,15,-36.00156325281232,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
178,False,"{'e': 0.701874967355394, 'a': 0.002}",30,0,-106.96239095880907,"{0: 22, 1: 3, 2: 2, 3: 1, 4: 2}",0
179,False,"{'e': 0.7004726202352524, 'a': 0.002}",35,0,-132.95223208074336,"{0: 23, 1: 4, 2: 4, 3: 3, 4: 1}",0
180,False,"{'e': 0.6990730750065257, 'a': 0.002}",25,0,-30.029625852746687,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
181,False,"{'e': 0.697676326071031, 'a': 0.002}",25,0,-142.6635857169265,"{0: 15, 1: 6, 2: 1, 3: 0, 4: 3}",0
182,False,"{'e': 0.696282367841771, 'a': 0.002}",20,0,-81.57144074024332,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
183,False,"{'e': 0.6948911947429106, 'a': 0.002}",25,0,-171.223287623437,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
184,False,"{'e': 0.6935028012097558, 'a': 0.002}",30,18,-33.80587842966989,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
